Title,Organism,Type,Platform,Samples,Accession,FTP,Processing,Samples
Small molecule inhibition of MEK activates Wnt signalling and leads to reprogramming of colon cancer stem cells [Affymetrix],Homo sapiens,Expression profiling by array,GPL570 4 Samples,4,"GSE114060	ID: 200114060",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114060/,,
Expression data of the human colorectal cancer cell line HCT116 in response to MS-275 and hydroxyurea treatment,Homo sapiens,Expression profiling by array,GPL16686 4 Samples,4,"GSE108868	ID: 200108868",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108868/,,
Gene expression profile of colorectal cancers with microarray,Homo sapiens,Expression profiling by array,GPL16686 4 Samples,4,"GSE79038	ID: 200079038",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79038/,,
Transient activation of the WNT pathway after disruption/remodeling of colorectal cancer cell clusters promotes a malignant phenotype,Homo sapiens,Expression profiling by array,GPL13607 4 Samples,4,"GSE75867	ID: 200075867",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75867/,,
Expression data from CEA high and CEA low cells in colorectal cancer,Homo sapiens,Expression profiling by array,GPL570 4 Samples,4,"GSE72398	ID: 200072398",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72398/,,
Expression profiling of HCT116 cells transfected with shCTRL or shKSR1,Homo sapiens,Expression profiling by array,GPL570 4 Samples,4,"GSE65351	ID: 200065351",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65351/,,
Identification of genes suppressed by miR-483-5p and miR-551a in a colon cancer cell-line (study 2),Homo sapiens,Expression profiling by array,GPL6884 4 Samples,4,"GSE63201	ID: 200063201",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63201/,,
Gene expression profiles of colorectal cancer cells under the three dimensional culture,Homo sapiens,Expression profiling by array,GPL13497 4 Samples,4,"GSE56738	ID: 200056738",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56738/,,
Mapping  and genome-wide profiling of human NKp46+ cells,Homo sapiens,Expression profiling by array,GPL570 4 Samples,4,"GSE41469	ID: 200041469",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41469/,,
Common PIK3CA mutants and a novel 3’UTR mutation are associated with increased sensitivity to saracatinib,Homo sapiens,Expression profiling by array,GPL6244 4 Samples,4,"GSE36006	ID: 200036006",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36006/,,
Expression data from RKO cells transfected with SPARCL1 and vector control,Homo sapiens,Expression profiling by array,GPL570 4 Samples,4,"GSE31440	ID: 200031440","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31440/",,
Expression data of cultured organoids derived from human colorectal cancer.,Homo sapiens,Expression profiling by array,GPL15207 3 Samples,3,"GSE184732	ID: 200184732",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE184nnn/GSE184732/,,
Gene expression in xenograft tumors derived from HCT116 and its oxaliplatin resistant clones,Homo sapiens,Expression profiling by array,GPL16699 3 Samples,3,"GSE124808	ID: 200124808",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124808/,,
Gene expression profiling of 126 colorectal cancer tissue samples,Homo sapiens,Expression profiling by array; Third-party reanalysis,GPL27634 3 Samples,3,"GSE139170	ID: 200139170","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139170/",,
Expression data in HCT-116 colon cancer cell treated with SCD1 inhibitor or in SCD1 knocked out HCT-116 cell,Homo sapiens,Expression profiling by array,GPL570 3 Samples,3,"GSE98364	ID: 200098364",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98364/,,
The global transcriptome analysis of HCT116 cells transfected with scrambled or CBX4 shRNA,Homo sapiens,Expression profiling by array,GPL4133 3 Samples,3,"GSE87778	ID: 200087778","GEO (TXT, XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87778/",,
Identification of genes suppressed by miR-483-5p and miR-551a in a colon cancer cell-line,Homo sapiens,Expression profiling by array,GPL6884 3 Samples,3,"GSE63041	ID: 200063041",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63041/,,
Expression data from Human primary colon cancer cells,Homo sapiens,Expression profiling by array,GPL570 3 Samples,3,"GSE43576	ID: 200043576","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43576/",,
lncRNAs expression signatures of colon cancer,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL13825 3 Samples,3,"GSE52413	ID: 200052413",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52413/,,
AMIGO2 overexpression effect on colon cancer cell line,Homo sapiens,Expression profiling by array,GPL22439 2 Samples,2,"GSE275959	ID: 200275959",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE275nnn/GSE275959/,,
Global expression data from HCT-116 human colorectal cancer (CRC) wild type cells (HCT116/GFP) and CPEB4 over-expressed cells via lenti-virus system (HCT116/CPEB4),Homo sapiens,Expression profiling by array,GPL570 2 Samples,2,"GSE226251	ID: 200226251","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE226nnn/GSE226251/",,
Gene expression profile of human colorectal carcinoma HCT 116 cell line treated with imipramine,Homo sapiens,Expression profiling by array,GPL20844 2 Samples,2,"GSE125169	ID: 200125169",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125169/,,
"FLANC, a novel primate-specific long non-coding RNA, is involved in colorectal carcinogenesis and holds potential as a novel therapeutic target (overexpression)",Homo sapiens,Expression profiling by array,GPL10332 2 Samples,2,"GSE127786	ID: 200127786",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE127nnn/GSE127786/,,
"FLANC, a novel primate-specific long non-coding RNA, is involved in colorectal carcinogenesis and holds potential as a novel therapeutic target (shRNA)",Homo sapiens,Expression profiling by array,GPL4133 2 Samples,2,"GSE127785	ID: 200127785",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE127nnn/GSE127785/,,
Gene expression profiling identifies potential biomarkers for colorectal cancer using NanoString nCounter assay,Homo sapiens,Expression profiling by array,GPL19956 2 Samples,2,"GSE130557	ID: 200130557",GEO (RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130557/,,
The investigation of target gene of antisense oligonucleotides (ASOs) against microRNA-21 in colorectal carcinoma cells in vivo,Homo sapiens,Expression profiling by array,GPL13497 2 Samples,2,"GSE109592	ID: 200109592",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109592/,,
Analysis of gene expression profile in 5-fluorouracil (5-FU)-resistant human colon cancer cells,Homo sapiens,Expression profiling by array,GPL14550 2 Samples,2,"GSE56322	ID: 200056322",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56322/,,
The expression profile of Cetuximab resistance in head-and-neck squamous cell carcinoma cells.,Homo sapiens,Expression profiling by array,GPL570 2 Samples,2,"GSE63916	ID: 200063916","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63916/",,
Expression data from HCT 116 colorectal cancer cells treated with oncolytic virus M1,Homo sapiens,Expression profiling by array,GPL570 2 Samples,2,"GSE92918	ID: 200092918","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92918/",,
Human colorectal cancer cell line CRC#21: Sphere-cultured cells vs. Adherent-cultured cells,Homo sapiens,Expression profiling by array,GPL10332 2 Samples,2,"GSE77150	ID: 200077150",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77150/,,
Human colorectal cancer cell line CRC#21: ALDH-high cells vs. ALDH-low cells,Homo sapiens,Expression profiling by array,GPL10332 2 Samples,2,"GSE77149	ID: 200077149",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77149/,,
Gene microarray data for HT-29 monolayer and spheroids,Homo sapiens,Expression profiling by array,GPL570 2 Samples,2,"GSE65433	ID: 200065433","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65433/",,
Expression profile of HCT116 cells transfected with miR-204-5p,Homo sapiens,Expression profiling by array,GPL13497 2 Samples,2,"GSE59897	ID: 200059897",GEO (XLS) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59897/,,
